Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
28/2/15,walking,walking,2015-02-28T09:56:57+05:30,2015-02-28T10:04:30+05:30,453,0.297,437,25
28/2/15,walking,walking,2015-02-28T10:10:58+05:30,2015-02-28T10:12:00+05:30,62,0.019,29,2
28/2/15,walking,walking,2015-02-28T10:31:18+05:30,2015-02-28T10:39:44+05:30,506,0.441,648,36
28/2/15,walking,walking,2015-02-28T19:24:07+05:30,2015-02-28T19:30:33+05:30,386,0.335,797,28
28/2/15,transport,transport,2015-02-28T19:30:32+05:30,2015-02-28T19:38:13+05:30,461,0.223,0,0
28/2/15,walking,walking,2015-02-28T19:38:14+05:30,2015-02-28T19:44:23+05:30,369,0.153,475,13
28/2/15,transport,transport,2015-02-28T21:21:08+05:30,2015-02-28T21:36:00+05:30,892,1.854,0,0
28/2/15,walking,walking,2015-02-28T21:37:18+05:30,2015-02-28T21:37:51+05:30,33,0.015,47,1
28/2/15,walking,walking,2015-02-28T22:25:22+05:30,2015-02-28T22:33:06+05:30,464,0.329,803,27
28/2/15,transport,transport,2015-02-28T22:33:05+05:30,2015-02-28T22:54:54+05:30,1309,6.851,0,0
28/2/15,walking,walking,2015-02-28T22:54:54+05:30,2015-02-28T22:58:35+05:30,221,0.119,383,10
28/2/15,cycling,cycling,2015-02-28T22:58:34+05:30,2015-02-28T23:07:38+05:30,544,1.791,0,65
28/2/15,walking,walking,2015-02-28T23:07:56+05:30,2015-02-28T23:10:56+05:30,180,0.084,171,7
