Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
5/2/15,walking,walking,2015-02-05T20:49:43+05:30,2015-02-05T20:49:49+05:30,6,0.002,8,0
6/2/15,walking,walking,2015-02-06T10:12:30+05:30,2015-02-06T10:13:46+05:30,76,0.034,109,3
6/2/15,running,running,2015-02-06T10:17:54+05:30,2015-02-06T10:30:36+05:30,762,0.987,1851,101
6/2/15,walking,walking,2015-02-06T10:30:36+05:30,2015-02-06T10:44:01+05:30,805,0.410,952,34
6/2/15,transport,transport,2015-02-06T12:30:47+05:30,2015-02-06T12:39:24+05:30,517,0.369,0,0
6/2/15,walking,walking,2015-02-06T18:54:15+05:30,2015-02-06T18:57:28+05:30,193,0.279,390,23
6/2/15,transport,transport,2015-02-06T18:57:27+05:30,2015-02-06T19:04:57+05:30,450,1.016,0,0
6/2/15,walking,walking,2015-02-06T19:04:58+05:30,2015-02-06T19:24:27+05:30,1169,1.404,1899,116
6/2/15,walking,walking,2015-02-06T19:30:29+05:30,2015-02-06T19:31:50+05:30,81,0.035,114,3
6/2/15,walking,walking,2015-02-06T19:39:51+05:30,2015-02-06T20:19:58+05:30,2407,1.913,4447,158
6/2/15,walking,walking,2015-02-06T20:23:26+05:30,2015-02-06T20:31:06+05:30,460,0.333,816,28
7/2/15,running,running,2015-02-07T08:36:20+05:30,2015-02-07T08:44:47+05:30,507,0.620,1221,64
7/2/15,walking,walking,2015-02-07T08:44:47+05:30,2015-02-07T08:51:38+05:30,411,0.290,550,24
7/2/15,cycling,cycling,2015-02-07T08:51:38+05:30,2015-02-07T08:56:08+05:30,270,0.831,0,30
7/2/15,walking,walking,2015-02-07T08:56:08+05:30,2015-02-07T08:58:10+05:30,122,0.110,205,9
7/2/15,walking,walking,2015-02-07T09:01:01+05:30,2015-02-07T09:10:09+05:30,548,0.605,812,50
7/2/15,cycling,cycling,2015-02-07T09:10:09+05:30,2015-02-07T09:13:10+05:30,181,0.600,0,22
7/2/15,walking,walking,2015-02-07T09:13:10+05:30,2015-02-07T09:14:40+05:30,90,0.041,131,3
7/2/15,walking,walking,2015-02-07T22:00:37+05:30,2015-02-07T22:07:30+05:30,413,0.316,605,26
7/2/15,walking,walking,2015-02-07T22:10:27+05:30,2015-02-07T22:15:57+05:30,330,0.260,557,21
7/2/15,walking,walking,2015-02-07T22:21:52+05:30,2015-02-07T22:27:05+05:30,313,0.316,602,26
7/2/15,walking,walking,2015-02-07T22:28:28+05:30,2015-02-07T22:29:58+05:30,90,0.038,121,3
8/2/15,running,running,2015-02-08T07:32:12+05:30,2015-02-08T07:45:09+05:30,777,1.030,1605,105
8/2/15,walking,walking,2015-02-08T07:45:09+05:30,2015-02-08T07:49:13+05:30,244,0.208,358,17
8/2/15,walking,walking,2015-02-08T07:52:42+05:30,2015-02-08T07:53:12+05:30,30,0.012,40,1
8/2/15,walking,walking,2015-02-08T08:01:44+05:30,2015-02-08T08:11:40+05:30,596,0.370,620,31
8/2/15,walking,walking,2015-02-08T21:17:12+05:30,2015-02-08T21:25:04+05:30,472,0.321,736,27
8/2/15,walking,walking,2015-02-08T21:36:19+05:30,2015-02-08T21:37:49+05:30,90,0.047,153,4
8/2/15,walking,walking,2015-02-08T22:24:50+05:30,2015-02-08T22:27:04+05:30,134,0.096,266,8
8/2/15,walking,walking,2015-02-08T22:27:03+05:30,2015-02-08T22:32:02+05:30,299,0.202,559,17
8/2/15,walking,walking,2015-02-08T22:34:38+05:30,2015-02-08T22:35:04+05:30,26,0.008,15,1
9/2/15,walking,walking,2015-02-09T09:52:25+05:30,2015-02-09T09:52:55+05:30,30,0.009,30,1
9/2/15,walking,walking,2015-02-09T12:56:14+05:30,2015-02-09T13:05:08+05:30,534,0.344,915,28
9/2/15,walking,walking,2015-02-09T13:08:30+05:30,2015-02-09T13:11:30+05:30,180,0.104,222,9
9/2/15,walking,walking,2015-02-09T13:21:48+05:30,2015-02-09T13:28:45+05:30,417,0.345,903,29
10/2/15,walking,walking,2015-02-10T10:05:13+05:30,2015-02-10T10:11:12+05:30,359,0.311,687,26
10/2/15,walking,walking,2015-02-10T10:17:53+05:30,2015-02-10T10:21:21+05:30,208,0.295,421,24
10/2/15,walking,walking,2015-02-10T14:39:00+05:30,2015-02-10T14:43:37+05:30,277,0.198,370,16
10/2/15,walking,walking,2015-02-10T15:51:42+05:30,2015-02-10T15:52:56+05:30,74,0.034,109,3
10/2/15,walking,walking,2015-02-10T20:42:43+05:30,2015-02-10T20:50:40+05:30,477,0.283,516,23
10/2/15,walking,walking,2015-02-10T20:52:30+05:30,2015-02-10T20:52:44+05:30,14,0.007,24,1
10/2/15,walking,walking,2015-02-10T20:57:40+05:30,2015-02-10T20:58:31+05:30,51,0.038,51,3
10/2/15,walking,walking,2015-02-10T21:00:40+05:30,2015-02-10T21:04:25+05:30,225,0.137,314,11
10/2/15,walking,walking,2015-02-10T21:12:02+05:30,2015-02-10T21:12:32+05:30,30,0.012,41,1
11/2/15,walking,walking,2015-02-11T12:31:04+05:30,2015-02-11T12:32:04+05:30,60,0.019,61,2
11/2/15,walking,walking,2015-02-11T12:38:43+05:30,2015-02-11T12:41:17+05:30,154,0.210,281,17
11/2/15,walking,walking,2015-02-11T13:06:46+05:30,2015-02-11T13:14:33+05:30,467,0.355,630,29
11/2/15,walking,walking,2015-02-11T15:41:22+05:30,2015-02-11T15:41:36+05:30,14,0.007,24,1
11/2/15,cycling,cycling,2015-02-11T15:42:00+05:30,2015-02-11T16:11:16+05:30,1756,5.227,0,192
11/2/15,walking,walking,2015-02-11T16:11:16+05:30,2015-02-11T16:13:54+05:30,158,0.070,223,6
11/2/15,walking,walking,2015-02-11T16:19:47+05:30,2015-02-11T16:20:15+05:30,28,0.016,53,1
11/2/15,cycling,cycling,2015-02-11T17:07:03+05:30,2015-02-11T17:34:14+05:30,1631,5.402,0,197
11/2/15,walking,walking,2015-02-11T17:41:37+05:30,2015-02-11T17:42:44+05:30,67,0.035,114,3
11/2/15,walking,walking,2015-02-11T18:58:25+05:30,2015-02-11T19:02:45+05:30,260,0.186,346,15
11/2/15,walking,walking,2015-02-11T22:39:06+05:30,2015-02-11T22:40:22+05:30,76,0.047,149,4
12/2/15,walking,walking,2015-02-12T00:25:18+05:30,2015-02-12T00:25:48+05:30,30,0.012,41,1
12/2/15,walking,walking,2015-02-12T01:30:38+05:30,2015-02-12T01:31:08+05:30,30,0.012,40,1
12/2/15,walking,walking,2015-02-12T12:08:22+05:30,2015-02-12T12:15:39+05:30,437,0.313,721,26
12/2/15,walking,walking,2015-02-12T12:16:39+05:30,2015-02-12T12:19:09+05:30,150,0.101,216,8
12/2/15,walking,walking,2015-02-12T12:27:01+05:30,2015-02-12T12:29:55+05:30,174,0.176,236,15
12/2/15,walking,walking,2015-02-12T18:24:20+05:30,2015-02-12T18:32:27+05:30,487,0.385,951,32
12/2/15,transport,transport,2015-02-12T18:32:26+05:30,2015-02-12T18:35:56+05:30,210,1.156,0,0
12/2/15,walking,walking,2015-02-12T18:35:57+05:30,2015-02-12T18:38:25+05:30,148,0.118,170,10
12/2/15,cycling,cycling,2015-02-12T18:38:25+05:30,2015-02-12T18:46:46+05:30,501,1.419,0,52
12/2/15,walking,walking,2015-02-12T18:46:46+05:30,2015-02-12T18:51:11+05:30,265,0.270,514,22
12/2/15,walking,walking,2015-02-12T20:02:52+05:30,2015-02-12T20:03:52+05:30,60,0.019,60,2
12/2/15,walking,walking,2015-02-12T22:48:19+05:30,2015-02-12T23:17:11+05:30,1732,1.519,2994,126
12/2/15,transport,transport,2015-02-12T23:17:10+05:30,2015-02-12T23:22:39+05:30,329,1.242,0,0
12/2/15,walking,walking,2015-02-12T23:22:39+05:30,2015-02-12T23:35:03+05:30,744,0.393,1052,33
12/2/15,walking,walking,2015-02-12T23:35:40+05:30,2015-02-12T23:36:40+05:30,60,0.025,81,2
13/2/15,walking,walking,2015-02-13T14:06:02+05:30,2015-02-13T14:07:17+05:30,75,0.032,101,3
13/2/15,walking,walking,2015-02-13T14:10:53+05:30,2015-02-13T14:13:15+05:30,142,0.179,240,15
13/2/15,walking,walking,2015-02-13T14:14:39+05:30,2015-02-13T14:18:39+05:30,240,0.112,220,9
13/2/15,walking,walking,2015-02-13T14:22:18+05:30,2015-02-13T14:30:01+05:30,463,0.344,734,28
13/2/15,walking,walking,2015-02-13T14:31:46+05:30,2015-02-13T14:32:46+05:30,60,0.025,81,2
13/2/15,walking,walking,2015-02-13T17:21:58+05:30,2015-02-13T17:39:52+05:30,1074,0.969,1944,80
13/2/15,walking,walking,2015-02-13T17:47:20+05:30,2015-02-13T17:48:20+05:30,60,0.035,112,3
13/2/15,walking,walking,2015-02-13T18:10:34+05:30,2015-02-13T18:31:48+05:30,1274,1.104,2051,91
13/2/15,walking,walking,2015-02-13T18:32:45+05:30,2015-02-13T18:33:45+05:30,60,0.025,81,2
14/2/15,walking,walking,2015-02-14T09:52:57+05:30,2015-02-14T10:00:08+05:30,431,0.444,675,37
14/2/15,walking,walking,2015-02-14T10:04:21+05:30,2015-02-14T10:08:51+05:30,270,0.171,481,14
15/2/15,walking,walking,2015-02-15T13:59:28+05:30,2015-02-15T14:04:59+05:30,331,0.360,521,30
15/2/15,walking,walking,2015-02-15T14:06:48+05:30,2015-02-15T14:08:18+05:30,90,0.050,162,4
15/2/15,walking,walking,2015-02-15T14:15:12+05:30,2015-02-15T14:20:53+05:30,341,0.408,692,34
15/2/15,walking,walking,2015-02-15T18:23:47+05:30,2015-02-15T18:29:24+05:30,337,0.241,450,20
15/2/15,walking,walking,2015-02-15T18:36:22+05:30,2015-02-15T18:38:32+05:30,130,0.106,227,9
15/2/15,walking,walking,2015-02-15T18:45:52+05:30,2015-02-15T18:49:20+05:30,208,0.214,450,18
15/2/15,walking,walking,2015-02-15T18:53:08+05:30,2015-02-15T18:55:08+05:30,120,0.056,81,5
15/2/15,walking,walking,2015-02-15T19:31:06+05:30,2015-02-15T19:34:59+05:30,233,0.167,311,14
16/2/15,walking,walking,2015-02-16T10:11:31+05:30,2015-02-16T10:17:42+05:30,371,0.309,690,26
16/2/15,walking,walking,2015-02-16T10:20:04+05:30,2015-02-16T10:20:34+05:30,30,0.012,40,1
16/2/15,walking,walking,2015-02-16T10:22:51+05:30,2015-02-16T10:56:12+05:30,2001,1.385,3447,115
16/2/15,walking,walking,2015-02-16T19:13:45+05:30,2015-02-16T19:22:11+05:30,506,0.505,774,42
16/2/15,walking,walking,2015-02-16T19:31:39+05:30,2015-02-16T19:32:09+05:30,30,0.016,51,1
16/2/15,walking,walking,2015-02-16T19:41:06+05:30,2015-02-16T19:43:36+05:30,150,0.075,162,6
16/2/15,walking,walking,2015-02-16T19:47:55+05:30,2015-02-16T19:57:14+05:30,559,0.452,864,37
16/2/15,walking,walking,2015-02-16T19:58:49+05:30,2015-02-16T19:59:19+05:30,30,0.009,20,1
17/2/15,walking,walking,2015-02-17T12:28:30+05:30,2015-02-17T12:35:57+05:30,447,0.310,696,26
17/2/15,walking,walking,2015-02-17T12:36:53+05:30,2015-02-17T12:37:23+05:30,30,0.009,30,1
17/2/15,walking,walking,2015-02-17T12:56:00+05:30,2015-02-17T13:02:24+05:30,384,0.340,625,28
17/2/15,walking,walking,2015-02-17T13:03:57+05:30,2015-02-17T13:04:27+05:30,30,0.012,40,1
17/2/15,transport,transport,2015-02-17T14:23:40+05:30,2015-02-17T14:34:29+05:30,649,2.196,0,0
17/2/15,walking,walking,2015-02-17T14:36:35+05:30,2015-02-17T14:37:05+05:30,30,0.012,40,1
17/2/15,transport,transport,2015-02-17T20:43:20+05:30,2015-02-17T20:57:32+05:30,852,0.608,0,0
18/2/15,walking,walking,2015-02-18T10:47:39+05:30,2015-02-18T10:55:09+05:30,450,0.326,842,27
18/2/15,walking,walking,2015-02-18T11:00:33+05:30,2015-02-18T11:08:39+05:30,486,0.348,768,29
19/2/15,walking,walking,2015-02-19T08:07:50+05:30,2015-02-19T08:14:44+05:30,414,0.316,779,26
19/2/15,walking,walking,2015-02-19T08:23:14+05:30,2015-02-19T08:24:14+05:30,60,0.032,101,3
19/2/15,walking,walking,2015-02-19T08:28:29+05:30,2015-02-19T08:34:51+05:30,382,0.318,592,26
19/2/15,walking,walking,2015-02-19T17:36:15+05:30,2015-02-19T17:44:48+05:30,513,0.346,742,29
19/2/15,walking,walking,2015-02-19T17:50:14+05:30,2015-02-19T17:53:38+05:30,204,0.220,358,18
19/2/15,walking,walking,2015-02-19T18:07:13+05:30,2015-02-19T18:07:43+05:30,30,0.012,40,1
19/2/15,walking,walking,2015-02-19T20:42:50+05:30,2015-02-19T20:48:32+05:30,342,0.222,523,18
19/2/15,walking,walking,2015-02-19T20:52:52+05:30,2015-02-19T20:54:30+05:30,98,0.048,153,4
19/2/15,walking,walking,2015-02-19T21:13:47+05:30,2015-02-19T21:23:59+05:30,612,0.506,920,42
19/2/15,walking,walking,2015-02-19T21:27:57+05:30,2015-02-19T21:28:27+05:30,30,0.016,51,1
19/2/15,walking,walking,2015-02-19T21:38:44+05:30,2015-02-19T21:44:14+05:30,330,0.165,354,14
19/2/15,walking,walking,2015-02-19T21:46:13+05:30,2015-02-19T21:54:15+05:30,482,0.329,793,27
19/2/15,walking,walking,2015-02-19T21:59:15+05:30,2015-02-19T22:00:15+05:30,60,0.029,91,2
